# V.I.C.T.O.R. - dziennik diagnostyczny
# telefon: samsung SM-A236B
# Android: 13 (SDK 33)
# aplikacja: 0.1.0-alpha-debug (1)
# dostawca AI: gemini
# transkrypcja w chmurze: false
# mikrofon okularów przy starcie: true
# źródło zdjęcia: full (dzielnik 3)
19:08:49.171          ms  SESJA        start sesji
19:29:40.760   +6355 ms  KONTEKST     zebrany  ms=551 pamięć=true kalendarz=false poczta=false pogoda=true lokalizacja=false limitCzasu=false
19:29:40.780   +6375 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.5-flash próba=1 zdjęć=0 znakówPromptu=2839
19:29:46.214  +11810 ms  AUDIO        tryb multimediów NIE wstał mimo prośby  poMs=6000 jakTelefonWidziOkulary=Tryb audio telefonu: zwykły, trzymanych łączy: 1 / Odtwarzanie (A2DP): brak / Rozmowa (SCO/HFP): W610T_04C5 / Mikrofon okularów jest dostępny dla rozmowy.
19:29:47.273  +12869 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=6495
19:29:47.319  +12914 ms  MODEL        zużycie tokenów  wejście=3392 odpowiedź=79 myślenie=657 razem=4128 limit=1200 koniec=STOP
19:29:47.358  +12953 ms  MODEL        koniec odpowiedzi (262 znaków, 4128 tokenów)  ms=6580
19:29:47.361  +12956 ms  AKCJA        model nie zlecił żadnej akcji  znakówOdpowiedzi=262
19:30:03.600  +29195 ms  MOWA         koniec wypowiedzi  ms=16236
19:30:03.653  +29249 ms  AUDIO        zwinięte łącze audio tury  ms=1
19:30:03.663  +29258 ms  SESJA        --- KONIEC TURY 226a: odpowiedziano ---
19:30:03.681          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
19:30:04.408          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:31:46.776          ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:32:28.120          ms  PRZYCISK     wciśnięto  numer=1
19:32:28.444          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=20
19:32:28.643          ms  PRZYCISK     akcja z przycisku  akcja=QUICK_QUESTION kliknięć=1
19:32:28.770          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=18 ms=320
19:32:28.885          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=29 mikrofonOkularów=true
19:32:28.896      +0 ms  SESJA        --- TURA 77a3 ---  źródło=OKULARY
19:32:28.899      +3 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true ustawienieMikOkularów=true
19:32:29.305    +410 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,2
19:32:36.643   +7748 ms  NASŁUCH      koniec  ms=7747 telefonUsłyszał=moje ostatnie maila zebrałTelefonZamiastOkularów=false mikrofon=mowa wykryta szczytDb=10.0 próbek=3 gotowyPoMs=1501
19:32:36.922   +8026 ms  NASŁUCH      nagranie z okularów  jest=true sekund=0.8735 pakietów=44 rozkodowanych=44 odrzuconych=0 przesunięcie=6 ramka=-1
19:32:38.318   +9422 ms  TRANSKRYPCJA z nagrania okularów  ms=1392 droga=Nasłuch telefonu
19:32:38.322   +9426 ms  SESJA        pytanie  tekst=moje ostatnie maila wymuszonyObraz=false
19:32:38.346   +9450 ms  ZDJĘCIE      bez zdjęcia  okularyGotowe=true wzorzecWidzenia=false wymuszone=false zNagrania=false
19:32:38.379   +9483 ms  AUDIO        mowa przez A2DP - bez profilu rozmowy  a2dp=true scoStoi=false
19:32:38.775   +9879 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:32:41.469  +12573 ms  KONTEKST     zebrany  ms=3052 pamięć=false kalendarz=false poczta=true pogoda=true lokalizacja=false limitCzasu=false
19:32:41.520  +12624 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.5-flash próba=1 zdjęć=0 znakówPromptu=5300
19:32:47.506  +18611 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=5988
19:32:47.536  +18640 ms  MODEL        zużycie tokenów - ODPOWIEDŹ UCIĘTA NA LIMICIE  wejście=4451 odpowiedź=43 myślenie=1153 razem=5647 limit=1200 koniec=MAX_TOKENS
19:32:47.574  +18678 ms  MODEL        koniec odpowiedzi (164 znaków, 5647 tokenów)  ms=6056
19:32:47.585  +18690 ms  AKCJA        model nie zlecił żadnej akcji  znakówOdpowiedzi=164
19:32:49.003  +20107 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,1
19:32:58.404  +29509 ms  MOWA         koniec wypowiedzi  ms=10815
19:32:58.436  +29541 ms  SESJA        --- KONIEC TURY 77a3: odpowiedziano ---
19:32:58.443          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
19:32:59.488          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:33:01.977          ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:33:03.671          ms  PRZYCISK     wciśnięto  numer=1
19:33:03.865          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=18
19:33:04.187          ms  PRZYCISK     akcja z przycisku  akcja=QUICK_QUESTION kliknięć=1
19:33:04.296          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=21 ms=418
19:33:04.382          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=14 mikrofonOkularów=true
19:33:04.389      +0 ms  SESJA        --- TURA 4c0c ---  źródło=OKULARY
19:33:04.392      +3 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true ustawienieMikOkularów=true
19:33:04.798    +409 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,2
19:33:14.937  +10548 ms  NASŁUCH      koniec  ms=10547 zebrałTelefonZamiastOkularów=false mikrofon=mowa wykryta szczytDb=6.5199995 próbek=9 gotowyPoMs=1036
19:33:15.327  +10938 ms  NASŁUCH      nagranie z okularów  jest=true sekund=0.8535 pakietów=43 rozkodowanych=43 odrzuconych=0 przesunięcie=6 ramka=-1
19:33:16.110  +11721 ms  TRANSKRYPCJA z nagrania okularów  ms=779 droga=Nasłuch telefonu
19:33:16.147  +11758 ms  NASŁUCH      przycinam nagranie dla modelu  byłoMs=853 jestMs=853 tło=0 szczyt=4 ile razy=42.3
19:33:16.156  +11767 ms  SESJA        pytanie  tekst=W załączonym nagraniu użytkownik zadaje pytanie. Wysłuchaj go i odpowiedz na nie. Nie transkrybuj nagrania i nie opisuj, nagranie=81980 B wymuszonyObraz=false
19:33:16.161  +11772 ms  ZDJĘCIE      bez zdjęcia  okularyGotowe=true wzorzecWidzenia=false wymuszone=false zNagrania=true
19:33:16.179  +11791 ms  AUDIO        mowa przez A2DP - bez profilu rozmowy  a2dp=true scoStoi=false
19:33:16.587  +12198 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:33:17.786  +13397 ms  KONTEKST     zebrany  ms=1589 pamięć=true kalendarz=true poczta=true pogoda=true lokalizacja=false limitCzasu=false
19:33:17.828  +13441 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.5-flash próba=1 zdjęć=0 znakówPromptu=8400
19:33:23.232  +18844 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=5407
19:33:23.246  +18857 ms  MODEL        zużycie tokenów  wejście=5511 odpowiedź=44 myślenie=984 razem=6539 limit=1200 koniec=STOP
19:33:23.284  +18896 ms  MODEL        koniec odpowiedzi (136 znaków, 6539 tokenów)  ms=5459
19:33:23.293  +18904 ms  AKCJA        model nie zlecił żadnej akcji  znakówOdpowiedzi=136
19:33:24.517  +20129 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,1
19:33:32.683  +28295 ms  MOWA         koniec wypowiedzi  ms=9385
19:33:32.712  +28323 ms  SESJA        --- KONIEC TURY 4c0c: odpowiedziano ---
19:33:32.720          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
19:33:33.590          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:33:36.157          ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:34:11.025          ms  PRZYCISK     wciśnięto  numer=1
19:34:11.256          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=21
19:34:11.533          ms  PRZYCISK     akcja z przycisku  akcja=QUICK_QUESTION kliknięć=1
19:34:11.633          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=15 ms=372
19:34:11.721          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=20 mikrofonOkularów=true
19:34:11.723      +0 ms  SESJA        --- TURA 0afa ---  źródło=OKULARY
19:34:11.724      +1 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true ustawienieMikOkularów=true
19:34:12.583    +860 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,2
19:34:17.670   +5948 ms  NASŁUCH      koniec  ms=5941 telefonUsłyszał=mojego maila zebrałTelefonZamiastOkularów=false mikrofon=mowa wykryta szczytDb=10.0 próbek=3 gotowyPoMs=846
19:34:18.009   +6286 ms  NASŁUCH      nagranie z okularów  jest=true sekund=1.1335 pakietów=57 rozkodowanych=57 odrzuconych=0 przesunięcie=6 ramka=-1
19:34:19.457   +7734 ms  TRANSKRYPCJA z nagrania okularów  ms=1444 droga=Bez transkrypcji - nagranie do modelu
19:34:19.461   +7739 ms  SESJA        pytanie  tekst=mojego maila wymuszonyObraz=false
19:34:19.478   +7755 ms  ZDJĘCIE      bez zdjęcia  okularyGotowe=true wzorzecWidzenia=false wymuszone=false zNagrania=false
19:34:19.501   +7778 ms  AUDIO        mowa przez A2DP - bez profilu rozmowy  a2dp=true scoStoi=false
19:34:19.988   +8265 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:34:21.388   +9666 ms  KONTEKST     zebrany  ms=1843 pamięć=true kalendarz=true poczta=true pogoda=true lokalizacja=false limitCzasu=false
19:34:21.436   +9713 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.5-flash próba=1 zdjęć=0 znakówPromptu=7779
19:34:27.246  +15523 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=5815
19:34:27.294  +15571 ms  MODEL        zużycie tokenów - ODPOWIEDŹ UCIĘTA NA LIMICIE  wejście=5292 odpowiedź=48 myślenie=1148 razem=6488 limit=1200 koniec=MAX_TOKENS
19:34:27.538  +15815 ms  MODEL        koniec odpowiedzi (160 znaków, 6488 tokenów)  ms=6107
19:34:27.540  +15817 ms  AKCJA        model nie zlecił żadnej akcji  znakówOdpowiedzi=154
19:34:30.185  +18462 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,1
19:34:40.259  +28536 ms  MOWA         koniec wypowiedzi  ms=12718
19:34:40.316  +28593 ms  SESJA        --- KONIEC TURY 0afa: odpowiedziano ---
19:34:40.324          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
19:34:40.924          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:34:43.679          ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:36:16.803          ms  PRZYCISK     wciśnięto  numer=1
19:36:16.862          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=15
19:36:17.315          ms  PRZYCISK     akcja z przycisku  akcja=QUICK_QUESTION kliknięć=1
19:36:17.405          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=24 ms=540
19:36:17.518          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=12 mikrofonOkularów=true
19:36:17.525      +2 ms  SESJA        --- TURA 167d ---  źródło=OKULARY
19:36:17.527      +4 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true ustawienieMikOkularów=true
19:36:18.375    +852 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,2
19:36:28.360  +10838 ms  NASŁUCH      koniec  ms=10837 zebrałTelefonZamiastOkularów=false mikrofon=mowa wykryta szczytDb=10.0 próbek=15 gotowyPoMs=1319
19:36:28.959  +11436 ms  NASŁUCH      nagranie z okularów  jest=true sekund=1.3135 pakietów=66 rozkodowanych=66 odrzuconych=0 przesunięcie=6 ramka=-1
19:36:30.543  +13021 ms  TRANSKRYPCJA z nagrania okularów  ms=1580 droga=Nasłuch telefonu
19:36:30.559  +13036 ms  NASŁUCH      przycinam nagranie dla modelu  byłoMs=1313 jestMs=1313 tło=1 szczyt=276 ile razy=141.7
19:36:30.572  +13049 ms  SESJA        pytanie  tekst=W załączonym nagraniu użytkownik zadaje pytanie. Wysłuchaj go i odpowiedz na nie. Nie transkrybuj nagrania i nie opisuj, nagranie=126140 B wymuszonyObraz=false
